左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
35.4% (121),35.4% (121),35.4% (121),23.7% (81),23.7% (81),23.7% (81),40.9% (140),40.9% (140),40.9% (140)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
33.7% (32),88.9% (8),34.0% (81),37.9% (36),11.1% (1),18.5% (44),28.4% (27),0.0% (0),47.5% (113)
