HQS率-,SQS率-,被打率.258,被BABIP.250,被出塁率.378,被長打率.516,K/BB0.83,K/95.87,BB/97.04,HR/92.35,GO/AO1.57,援護率-,IPR1.53,NHB%25.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
7.17,80.4%,-2.15,-0.25,-2.41,23,4.0,0,0,7.2,5,2,4,
