チーム,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
巨人,0.182,5,13,11,1,2,0,0,0,2,0,7,0,0,0,2,0,0,0,0,0.182,0.182,0.364
ＤｅＮＡ,0.0,5,12,11,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0.083,0.0,0.083
広島,0.0,2,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0
ヤクルト,0.0,6,18,14,0,0,0,0,0,0,1,7,1,0,0,3,0,0,0,1,0.067,0.0,0.067
中日,0.0,3,5,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0
