NOI99.9,GPA.049,RC-2.90,RC27-1.54,XR-2.48,XR27-1.31,RCAA-8.04,XR+-7.64,RCWIN-0.95,XRWIN-0.90,BABIP.100
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.08,0.041,27.00,2.16,0.000,-,0.044,0.091,-,50.0%,
