球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,60,43.8%,148.1,2,12,15,18,48.3%,6.7%,.214,14,3,0,1,1,0
スライダー,20,14.6%,132.4,1,8,1,5,50.0%,14.3%,.000,5,0,0,0,0,0
カットボール,19,13.9%,137.1,2,4,5,6,57.9%,22.2%,.333,3,1,0,1,0,0
チェンジアップ,17,12.4%,126.5,7,0,1,6,47.1%,63.6%,.250,8,2,0,5,0,0
カーブ,5,3.6%,112.8,0,1,2,2,60.0%,0.0%,-,0,0,0,0,0,0
スクリュー,5,3.6%,134.8,0,2,0,3,40.0%,-%,-,0,0,0,0,1,0
スプリット,4,2.9%,134.0,0,1,1,1,50.0%,0.0%,.000,1,0,0,0,0,0
シュート,3,2.2%,146.0,0,0,0,2,0.0%,0.0%,.000,1,0,0,0,0,0
フォーク,2,1.5%,132.5,0,0,0,0,0.0%,0.0%,.000,2,0,0,0,0,0
ツーシーム,2,1.5%,139.0,0,1,0,1,50.0%,-%,-,0,0,0,0,0,0
