NOI290.8,GPA.151,RC0.13,RC270.11,XR0.21,XR270.19,RCAA-3.29,XR+-3.23,RCWIN-0.39,XRWIN-0.38,BABIP.222
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.29,0.046,18.00,5.14,0.029,-,0.088,0.290,-,25.0%,
