条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.182,102,88,16,3,0,1,23,3,3,6,2
対左投手,0.291,59,55,16,0,0,3,8,1,1,2,0
