NOI371.0,GPA.200,RC11.85,RC272.58,XR12.85,XR272.80,RCAA-4.00,XR+-3.18,RCWIN-0.46,XRWIN-0.37,BABIP.255
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.13,0.038,40.25,5.19,0.105,35.75,0.133,0.482,0.00,24.2%,
