NOI0.0,GPA.000,RC-0.17,RC27-1.57,XR-0.16,XR27-1.40,RCAA-0.47,XR+-0.45,RCWIN-0.05,XRWIN-0.05,BABIP-
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,1.50,0.000,-,0.000,0.000,-,66.7%,
