球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,41,41.0%,148.8,3,3,15,14,51.2%,12.5%,.125,8,1,0,2,2,0
フォーク,17,17.0%,139.6,4,2,0,11,35.3%,100.0%,.000,2,0,0,2,2,0
チェンジアップ,12,12.0%,127.2,4,1,0,7,41.7%,100.0%,.000,1,0,0,1,0,0
カットボール,12,12.0%,135.2,1,2,3,3,50.0%,14.3%,.250,4,1,0,1,0,0
ツーシーム,7,7.0%,137.3,1,1,0,4,28.6%,50.0%,.000,1,0,0,0,0,0
カーブ,5,5.0%,116.6,0,2,1,1,60.0%,0.0%,1.000,1,1,0,0,0,0
スライダー,2,2.0%,127.5,0,2,0,0,100.0%,-%,-,0,0,0,0,0,0
シンカー,2,2.0%,144.0,2,0,0,0,100.0%,100.0%,.000,1,0,0,1,0,0
スプリット,1,1.0%,134.0,1,0,0,0,100.0%,100.0%,.000,1,0,0,1,0,0
シュート,1,1.0%,148.0,1,0,0,0,100.0%,100.0%,-,0,0,0,0,0,0
