NOI386.0,GPA.189,RC1.15,RC271.82,XR1.24,XR271.96,RCAA-1.13,XR+-1.06,RCWIN-0.13,XRWIN-0.12,BABIP.273
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.63,0.175,4.80,3.00,-0.000,-,0.263,0.471,-,54.2%,
