左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
54.5% (6),54.5% (6),54.5% (6),27.3% (3),27.3% (3),27.3% (3),18.2% (2),18.2% (2),18.2% (2)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
33.3% (1),- (0),62.5% (5),66.7% (2),- (0),12.5% (1),0.0% (0),- (0),25.0% (2)
