HQS率17.6%,SQS率17.6%,被打率.308,被BABIP.356,被出塁率.364,被長打率.454,K/BB2.33,K/96.93,BB/92.97,HR/90.99,GO/AO1.07,援護率3.35,IPR1.11,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.71,74.7%,-16.70,-1.97,-14.97,340,3.1,102,38,3.1,3,0,0,
