防御率4.38,試合19,先発19,救援0,連投(試)0,連投(日)0,勝利6,敗戦6,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投1,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.500,109.0,467,1763,16.2,125,10,55,22,0,4,0,0,54,53,1.35,31.6%
