球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,875,49.6%,141.1,36,199,175,274,46.9%,9.0%,0.28,218,61,6,30,16,3
チェンジアップ,359,20.4%,125.5,50,35,50,140,37.6%,27.2%,0.287,94,27,2,12,3,0
スライダー,282,16.0%,129.8,15,59,48,98,43.3%,12.0%,0.313,64,20,2,2,1,0
カーブ,238,13.5%,111.6,27,55,20,89,42.9%,28.7%,0.259,58,15,0,11,2,1
シンカー,9,0.5%,133.9,1,1,2,3,44.4%,20.0%,1.0,2,2,0,0,0,0
