NOI245.3,GPA.129,RC0.52,RC270.61,XR0.58,XR270.68,RCAA-2.04,XR+-2.00,RCWIN-0.24,XRWIN-0.24,BABIP.231
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.13,0.039,27.00,3.38,0.048,-,0.095,0.278,-,33.3%,
