HQS率-,SQS率-,被打率.255,被BABIP.261,被出塁率.346,被長打率.500,K/BB1.46,K/97.23,BB/94.94,HR/92.28,GO/AO0.43,援護率-,IPR1.69,NHB%19.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
6.07,80.4%,-5.20,-0.60,-6.01,71,9.1,0,0,23.2,14,4,12,
