HQS率-,SQS率-,被打率.250,被BABIP.333,被出塁率.250,被長打率.500,K/BB-,K/99.00,BB/90.00,HR/90.00,GO/AO0.00,援護率-,IPR99.00,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
0.77,100.0%,0.36,0.04,0.33,3,0.0,0,0,1.0,0,0,1,
