NOI268.5,GPA.143,RC1.15,RC270.89,XR1.19,XR270.92,RCAA-2.84,XR+-2.82,RCWIN-0.33,XRWIN-0.33,BABIP.438
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,2.10,0.028,-,0.028,0.276,-,47.6%,
