NOI0.0,GPA.000,RC-0.43,RC27-2.92,XR-0.39,XR27-2.65,RCAA-0.83,XR+-0.79,RCWIN-0.10,XRWIN-0.09,BABIP-
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,1.00,0.000,-,0.000,0.000,-,100.0%,
