NOI388.9,GPA.217,RC1.25,RC273.74,XR1.21,XR273.62,RCAA0.11,XR+0.06,RCWIN0.01,XRWIN0.01,BABIP.333
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,4.00,0.167,-,0.167,0.556,-,25.0%,
