球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,413,62.1%,154.8,65,66,109,109,58.1%,27.3%,.150,100,15,0,37,10,1
カーブ,144,21.7%,125.7,18,24,20,66,43.1%,33.3%,.192,26,5,0,11,1,1
スライダー,67,10.1%,138.1,5,25,3,23,49.3%,26.3%,.300,10,3,0,0,0,1
カットボール,40,6.0%,141.9,2,14,5,12,52.5%,14.3%,.250,8,2,0,1,0,0
チェンジアップ,1,0.2%,137.0,0,0,1,0,100.0%,0.0%,-,0,0,0,0,0,0
