防御率0.84,試合40,先発0,救援40,連投(試)0,連投(日)0,勝利4,敗戦1,HLD21,Ｓ5,ＨＰ25,ＳＰ9,救勝4,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.800,42.2,161,665,15.6,25,0,49,11,0,3,1,0,4,4,0.84,-
