HQS率-,SQS率-,被打率.257,被BABIP.258,被出塁率.337,被長打率.419,K/BB0.80,K/93.60,BB/94.50,HR/90.90,GO/AO1.04,援護率-,IPR2.50,NHB%6.7%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.59,80.2%,-0.57,-0.07,-0.25,60,8.1,0,0,20.0,8,1,10,
