条件,打率,打席,打数,安打,2塁,3塁,本塁,打点,三振,四球,死球,犠打,犠飛,出塁率
無し,0.259,204,189,49,12,2,4,4,52,15,0,0,0,0.314
1塁,0.302,67,63,19,0,1,2,5,9,1,0,3,0,0.313
2塁,0.24,32,25,6,2,0,0,5,9,5,0,2,0,0.367
3塁,0.0,4,4,0,0,0,0,0,2,0,0,0,0,0.0
1・2塁,0.207,31,29,6,1,0,0,4,9,0,0,2,0,0.207
1・3塁,0.333,10,9,3,1,0,0,4,2,1,0,0,0,0.4
2・3塁,0.0,4,3,0,0,0,0,1,1,0,0,1,0,0.0
満塁,0.3,12,10,3,1,0,0,7,2,1,0,0,1,0.333
得点圏,0.225,93,80,18,5,0,0,21,25,7,0,5,1,0.284
