NOI433.7,GPA.233,RC40.68,RC274.29,XR39.76,XR274.19,RCAA4.84,XR+3.51,RCWIN0.56,XRWIN0.41,BABIP.332
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.27,0.047,15.83,4.23,0.123,55.33,0.202,0.619,4.00,31.6%,
