球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,689,45.3%,147.5,50,127,126,266,44.0%,16.9%,.273,143,39,5,23,17,0
スライダー,180,11.8%,128.9,19,29,28,68,42.2%,22.9%,.310,42,13,0,7,3,0
カットボール,157,10.3%,138.5,19,23,26,63,43.3%,26.8%,.300,30,9,0,5,4,0
チェンジアップ,113,7.4%,132.0,11,18,12,53,36.3%,26.2%,.217,23,5,1,5,5,0
フォーク,110,7.2%,135.8,11,16,15,52,38.2%,26.2%,.167,24,4,0,8,3,0
ツーシーム,94,6.2%,141.7,6,17,11,37,36.2%,15.0%,.269,26,7,0,3,0,0
カーブ,64,4.2%,117.1,4,11,13,25,43.8%,14.3%,.462,13,6,0,2,0,0
スプリット,35,2.3%,140.2,6,5,5,13,45.7%,35.3%,.250,8,2,0,2,1,0
シュート,24,1.6%,142.0,5,5,1,9,45.8%,50.0%,.000,6,0,0,2,1,0
シンカー,19,1.2%,131.7,2,2,2,9,31.6%,25.0%,.250,4,1,0,0,1,0
縦スライダー,18,1.2%,127.1,2,5,0,6,38.9%,28.6%,.200,5,1,0,0,0,0
ナックルカーブ,15,1.0%,127.7,0,4,1,9,33.3%,0.0%,.000,1,0,0,0,0,0
パワーカーブ,2,0.1%,122.5,0,0,0,1,0.0%,0.0%,.000,1,0,0,0,0,0
スローボール,1,0.1%,82.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
