NOI417.3,GPA.219,RC5.76,RC272.59,XR6.06,XR272.73,RCAA-2.12,XR+-1.90,RCWIN-0.24,XRWIN-0.22,BABIP.255
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.41,0.098,11.43,4.71,0.100,35.00,0.200,0.533,0.00,32.5%,
