左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
44.2% (23),44.2% (23),44.2% (23),15.4% (8),15.4% (8),15.4% (8),40.4% (21),40.4% (21),40.4% (21)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
30.8% (4),100.0% (2),45.9% (17),23.1% (3),0.0% (0),13.5% (5),46.2% (6),0.0% (0),40.5% (15)
