アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,31,32.3%,安打,29,72.5%
フライ,34,35.4%,四死球,11,27.5%
空三振,17,17.7%,失策出塁,0,0.0%
見三振,8,8.3%,野選,0,0.0%
犠打,6,6.3%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
