種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,2.45,7,2,5,1,0,2,0,2,0,0,0,14.2,14,2,9,2,1,4,4,1.09,0.269,6.55,4.67
Nighter,1.5,16,1,15,1,1,5,0,6,1,1,1,18.0,15,0,16,7,1,3,3,1.22,0.231,6.75,5.0
