防御率1.93,試合23,先発3,救援20,連投(試)0,連投(日)0,勝利2,敗戦1,HLD7,Ｓ0,ＨＰ8,ＳＰ1,救勝1,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.667,32.2,136,544,16.7,29,2,25,9,1,2,3,0,7,7,1.16,0.0%
