HQS率0.0%,SQS率0.0%,被打率.248,被BABIP.293,被出塁率.308,被長打率.342,K/BB2.78,K/96.89,BB/92.48,HR/90.55,GO/AO0.91,援護率6.60,IPR4.92,NHB%30.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.95,88.7%,4.86,0.57,3.79,188,2.1,15,11,19.2,4,6,17,
