打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,59,13,0.22,1,11,6,0,0,0.292
2打席目,60,13,0.217,2,14,4,0,1,0.262
3打席目,60,16,0.267,1,10,1,1,1,0.274
4打席目,46,7,0.152,0,14,4,2,1,0.216
5打席目以上,16,4,0.25,0,3,0,0,0,0.25
