球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,206,41.8%,148.3,28,25,51,64,50.5%,23.9%,.231,52,12,0,15,2,1
フォーク,66,13.4%,136.0,14,2,12,25,42.4%,35.9%,.222,18,4,0,6,2,0
スライダー,56,11.4%,128.9,15,6,14,15,62.5%,42.9%,.250,12,3,0,6,1,0
カットボール,39,7.9%,138.6,7,3,12,10,56.4%,26.9%,.250,8,2,1,1,1,0
チェンジアップ,35,7.1%,130.4,8,4,5,9,48.6%,36.4%,.182,11,2,0,2,1,0
スプリット,21,4.3%,139.3,6,1,6,4,61.9%,37.5%,.250,8,2,0,4,0,0
カーブ,20,4.1%,119.1,4,6,2,4,60.0%,40.0%,.400,5,2,1,1,0,0
パワーカーブ,14,2.8%,122.0,2,6,0,4,57.1%,50.0%,.250,4,1,0,2,0,0
ナックルカーブ,12,2.4%,124.3,1,3,0,8,33.3%,100.0%,.000,1,0,0,1,0,0
ツーシーム,12,2.4%,145.8,1,1,3,5,41.7%,16.7%,1.000,1,1,0,0,0,0
縦スライダー,4,0.8%,131.0,0,2,1,0,75.0%,0.0%,.000,1,0,0,0,0,0
シンカー,4,0.8%,140.3,0,1,0,1,25.0%,0.0%,.000,2,0,0,0,0,0
高速スライダー,3,0.6%,138.0,1,0,0,2,33.3%,100.0%,-,0,0,0,0,0,0
シュート,1,0.2%,-,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
