防御率1.17,試合50,先発0,救援50,連投(試)1,連投(日)1,勝利3,敗戦3,HLD21,Ｓ4,ＨＰ24,ＳＰ7,救勝3,救敗3,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.500,46.0,193,679,14.8,41,0,35,14,2,2,4,0,8,6,1.20,-
