NOI166.7,GPA.088,RC-0.60,RC27-0.77,XR-0.43,XR27-0.55,RCAA-2.96,XR+-2.82,RCWIN-0.34,XRWIN-0.33,BABIP.158
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,4.80,0.000,-,0.000,0.143,-,20.8%,
