HQS率-,SQS率-,被打率.282,被BABIP.346,被出塁率.378,被長打率.436,K/BB1.83,K/910.24,BB/95.59,HR/91.86,GO/AO0.55,援護率-,IPR1.07,NHB%12.5%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
5.05,56.3%,-5.49,-0.65,-5.81,29,6.2,0,0,9.2,9,1,3,
