左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
45.1% (155),45.1% (155),45.1% (155),24.7% (85),24.7% (85),24.7% (85),30.2% (104),30.2% (104),30.2% (104)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
34.0% (34),46.9% (15),50.0% (106),41.0% (41),18.8% (6),17.9% (38),25.0% (25),34.4% (11),32.1% (68)
