打順,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
Day,0.274,55,222,197,28,54,8,0,17,113,43,49,24,2,0,0,1,0,0,0,0.351,0.574,0.925
Nighter,0.28,77,309,279,34,78,9,0,15,132,47,80,28,3,0,0,2,0,0,0,0.343,0.473,0.816
