球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,962,46.4%,148.7,89,161,198,359,46.6%,20.1%,.297,192,57,16,38,14,0
スライダー,293,14.1%,132.8,58,27,42,113,43.3%,37.9%,.301,73,22,4,21,10,0
フォーク,213,10.3%,136.1,61,9,26,94,45.1%,55.5%,.320,50,16,3,27,8,0
カットボール,178,8.6%,139.0,39,16,24,64,44.4%,39.8%,.196,46,9,1,12,4,0
チェンジアップ,120,5.8%,130.5,35,2,19,42,46.7%,46.1%,.162,37,6,2,15,4,0
カーブ,87,4.2%,118.4,19,14,8,30,47.1%,44.2%,.111,18,2,0,2,2,0
スプリット,68,3.3%,139.9,22,3,6,28,45.6%,59.5%,.235,17,4,1,8,0,0
ツーシーム,67,3.2%,142.7,3,10,9,25,32.8%,9.4%,.318,22,7,1,2,2,0
縦スライダー,21,1.0%,131.8,4,2,3,7,42.9%,33.3%,.500,6,3,2,1,1,0
シュート,21,1.0%,139.6,1,1,2,14,19.0%,16.7%,.250,4,1,0,1,0,0
シンカー,14,0.7%,134.9,3,1,3,3,50.0%,30.0%,.600,5,3,1,1,0,0
ナックルカーブ,13,0.6%,126.2,1,2,0,6,23.1%,20.0%,.250,4,1,0,0,1,0
パワーカーブ,8,0.4%,122.1,1,1,2,4,50.0%,33.3%,-,0,0,0,0,1,0
パーム,4,0.2%,119.3,1,0,0,2,25.0%,50.0%,.500,2,1,1,1,0,0
スローカーブ,2,0.1%,87.5,0,0,0,2,0.0%,-%,-,0,0,0,0,0,0
高速スライダー,1,0.0%,137.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
