NOI449.8,GPA.241,RC9.64,RC274.07,XR9.78,XR274.12,RCAA1.08,XR+1.18,RCWIN0.13,XRWIN0.14,BABIP.264
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.75,0.063,15.00,11.25,0.123,40.50,0.198,0.619,0.00,17.8%,
