打率.259,試合43,打席90,打数81,得点8,安打21,内安2,内安率9.5,２Ｂ4,３Ｂ0,本塁2,HR勝敗1-1-0,塁打31,打点6,三振8
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
6,0,2,0,1,0,0,-,0,0,3,.150,.322,.383,.705
