防御率2.51,試合7,先発6,救援1,連投(試)0,連投(日)0,勝利4,敗戦2,HLD0,Ｓ0,ＨＰ1,ＳＰ1,救勝1,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.667,32.1,132,472,14.6,30,2,19,5,0,0,0,0,11,9,1.08,50.0%
