NOI309.8,GPA.151,RC0.15,RC270.33,XR0.21,XR270.47,RCAA-1.19,XR+-1.13,RCWIN-0.14,XRWIN-0.13,BABIP.111
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
-,0.162,7.00,-,0.000,-,0.222,0.333,-,14.3%,
