左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
44.4% (4),44.4% (4),44.4% (4),22.2% (2),22.2% (2),22.2% (2),33.3% (3),33.3% (3),33.3% (3)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
100.0% (1),- (0),37.5% (3),0.0% (0),- (0),25.0% (2),0.0% (0),- (0),37.5% (3)
