NOI200.0,GPA.090,RC-0.12,RC27-0.79,XR-0.04,XR27-0.30,RCAA-0.59,XR+-0.52,RCWIN-0.07,XRWIN-0.06,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.33,0.200,5.00,1.67,0.000,-,0.250,0.250,-,80.0%,
