HQS率-,SQS率-,被打率.294,被BABIP.290,被出塁率.375,被長打率.471,K/BB0.60,K/93.00,BB/95.00,HR/91.00,GO/AO0.69,援護率-,IPR1.50,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
5.21,66.2%,-2.73,-0.32,-2.03,27,8.0,0,0,9.0,6,0,1,
