アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,9,36.0%,安打,10,66.7%
フライ,13,52.0%,四死球,5,33.3%
空三振,2,8.0%,失策出塁,0,0.0%
見三振,1,4.0%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
