打率.228,試合74,打席243,打数224,得点13,安打51,内安5,内安率9.8,２Ｂ6,３Ｂ1,本塁7,HR勝敗4-3-0,塁打80,打点26,三振50
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
15,0,2,0,2,0,0,-,0,0,9,.288,.280,.357,.637
