球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,392,42.2%,147.2,35,45,94,137,44.4%,16.7%,.268,97,26,3,17,8,1
スライダー,118,12.7%,130.4,22,16,21,41,50.0%,36.1%,.160,25,4,1,8,2,0
フォーク,99,10.7%,135.8,24,5,16,33,45.5%,39.3%,.188,32,6,0,11,1,0
カットボール,94,10.1%,138.2,17,15,14,30,48.9%,34.7%,.286,21,6,1,3,1,0
チェンジアップ,58,6.2%,125.9,11,3,13,23,46.6%,34.4%,.167,12,2,0,4,1,0
ツーシーム,53,5.7%,145.3,7,9,9,13,47.2%,22.6%,.333,15,5,2,0,1,0
スプリット,38,4.1%,138.1,4,4,12,13,52.6%,19.0%,.000,8,0,0,3,0,0
カーブ,35,3.8%,116.6,2,6,4,21,34.3%,25.0%,.000,4,0,0,2,0,0
シュート,14,1.5%,141.7,1,0,3,6,28.6%,12.5%,.000,4,0,0,0,0,0
ナックルカーブ,11,1.2%,129.5,1,3,1,4,45.5%,25.0%,.667,3,2,0,1,1,0
シンカー,8,0.9%,134.1,1,0,2,5,37.5%,33.3%,-,0,0,0,0,0,1
パワーカーブ,4,0.4%,123.0,1,1,1,1,75.0%,50.0%,.000,1,0,0,1,0,0
縦スライダー,2,0.2%,131.5,0,0,1,0,50.0%,0.0%,.000,1,0,0,0,0,0
スローカーブ,1,0.1%,94.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
パーム,1,0.1%,115.0,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
高速スライダー,1,0.1%,134.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
