打順,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
Home,0.208,32,107,101,1,21,4,1,0,27,8,25,5,0,1,0,0,0,0,0,0.252,0.267,0.52
Visitor,0.244,42,136,123,12,30,2,0,7,53,18,25,10,0,1,0,2,0,0,0,0.301,0.431,0.732
