左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
47.1% (80),47.1% (80),47.1% (80),26.5% (45),26.5% (45),26.5% (45),26.5% (45),26.5% (45),26.5% (45)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
52.3% (23),42.9% (3),45.4% (54),34.1% (15),28.6% (2),23.5% (28),13.6% (6),28.6% (2),31.1% (37)
