NOI550.0,GPA.297,RC45.35,RC277.00,XR44.12,XR276.81,RCAA18.18,XR+16.63,RCWIN2.10,XRWIN1.92,BABIP.351
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.46,0.084,10.22,4.68,0.198,18.69,0.309,0.880,0.00,35.9%,
