NOI348.1,GPA.186,RC11.41,RC272.07,XR12.00,XR272.17,RCAA-6.93,XR+-6.44,RCWIN-0.82,XRWIN-0.76,BABIP.273
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.20,0.045,19.30,3.86,0.084,89.50,0.140,0.432,0.00,32.1%,
