打順,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
Day,0.209,29,71,67,7,14,2,1,1,21,6,16,2,1,0,2,0,0,0,0,0.232,0.313,0.545
Nighter,0.205,55,122,112,10,23,3,1,1,31,4,34,8,0,1,0,1,0,0,2,0.262,0.277,0.539
