打率.207,試合84,打席193,打数179,得点17,安打37,内安2,内安率5.4,２Ｂ5,３Ｂ2,本塁2,HR勝敗2-0-0,塁打52,打点10,三振50
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
10,1,1,2,1,0,0,-,2,0,4,.173,.251,.291,.542
