連続項目,フラグ (現状値 / 最高値)
安打,0打席 / 2打席
本塁打,0打席 / 1打席
無安打,9打席 / 14打席
三振,1打席 / 5打席
無三振,0打席 / 12打席
出塁,0打席 / 3打席
