球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,287,36.7%,147.8,19,47,67,89,46.3%,12.6%,.213,80,17,1,17,4,1
フォーク,112,14.3%,135.0,26,8,18,47,46.4%,45.6%,.136,22,3,0,9,2,0
スライダー,94,12.0%,129.9,22,24,11,27,60.6%,51.2%,.211,19,4,0,9,0,0
カットボール,71,9.1%,137.5,14,10,12,21,50.7%,35.0%,.176,17,3,0,4,0,0
チェンジアップ,64,8.2%,133.6,13,10,5,28,43.8%,50.0%,.182,11,2,0,3,2,0
スプリット,38,4.9%,140.0,10,1,4,16,39.5%,47.6%,.100,10,1,0,3,0,0
カーブ,32,4.1%,117.9,4,5,1,18,31.3%,44.4%,.200,5,1,0,1,0,0
シンカー,22,2.8%,129.0,9,1,1,7,50.0%,64.3%,.333,6,2,0,2,0,0
ナックルカーブ,20,2.6%,128.1,2,3,6,9,55.0%,25.0%,.000,1,0,0,1,0,0
シュート,19,2.4%,144.4,0,1,3,9,21.1%,0.0%,.667,6,4,1,0,1,0
ツーシーム,17,2.2%,140.9,3,1,6,6,58.8%,30.0%,.000,2,0,0,1,0,0
縦スライダー,5,0.6%,132.6,0,0,3,2,60.0%,0.0%,-,0,0,0,0,0,0
スローカーブ,1,0.1%,-,1,0,0,0,100.0%,100.0%,-,0,0,0,0,0,0
