条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.264,63,53,14,5,0,1,9,9,0,1,0
対左打者,0.2,45,40,8,1,0,0,8,4,0,1,0
