HQS率0.0%,SQS率0.0%,被打率.237,被BABIP.280,被出塁率.330,被長打率.333,K/BB1.31,K/96.12,BB/94.68,HR/90.36,GO/AO0.32,援護率1.38,IPR2.00,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.49,71.4%,-1.92,-0.23,-1.74,85,2.0,26,4,2.0,1,0,0,
