アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,17,40.5%,安打,16,76.2%
フライ,13,31.0%,四死球,4,19.0%
空三振,8,19.0%,失策出塁,1,4.8%
見三振,3,7.1%,野選,0,0.0%
犠打,1,2.4%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
