HQS率-,SQS率-,被打率.276,被BABIP.295,被出塁率.323,被長打率.448,K/BB2.75,K/96.91,BB/92.51,HR/91.88,GO/AO1.31,援護率-,IPR1.43,NHB%42.9%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.76,63.3%,-4.67,-0.54,-1.16,73,5.0,0,0,14.1,10,6,10,
