球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,121,36.9%,146.5,21,21,26,34,56.2%,31.8%,0.179,28,5,0,9,0,0
フォーク,49,14.9%,134.7,13,4,5,20,44.9%,52.0%,0.231,13,3,0,6,1,0
スライダー,44,13.4%,129.7,11,9,1,18,47.7%,64.7%,0.3,10,3,1,5,0,0
チェンジアップ,30,9.1%,125.8,6,7,5,10,60.0%,46.2%,0.0,5,0,0,3,0,0
カットボール,22,6.7%,136.1,3,1,1,9,22.7%,25.0%,0.25,8,2,0,0,1,0
ツーシーム,20,6.1%,144.5,2,2,3,8,35.0%,20.0%,0.286,7,2,1,2,0,1
シュート,17,5.2%,142.7,2,6,1,6,52.9%,40.0%,0.0,4,0,0,2,0,0
カーブ,7,2.1%,120.8,0,1,0,5,14.3%,0.0%,0.0,1,0,0,0,0,0
スプリット,5,1.5%,130.2,2,1,1,1,80.0%,66.7%,0.0,1,0,0,1,0,0
シンカー,5,1.5%,136.2,3,0,1,1,80.0%,75.0%,0.0,2,0,0,2,0,0
縦スライダー,4,1.2%,135.0,2,0,1,1,75.0%,66.7%,0.0,1,0,0,1,0,0
ナックルカーブ,4,1.2%,128.3,1,1,1,0,75.0%,33.3%,0.5,2,1,0,1,0,0
